,Unnamed: 0,avalanche_obs,comment,documents,group_activity,id,location,location_coords,location_coords_type,location_desc,location_elevation,location_province,num_fatal,num_injured,num_involved,ob_date,snowpack_comment,snowpack_obs,weather_comment,weather_obs,alt_coord
191,191,"[{'observation_date': '1999-01-13', 'size': '2.5', 'type': 'Slab', 'trigger': 'Sa', 'aspect': 'NE', 'elevation': 2500, 'slab_width': 35, 'slab_thickness': 150}]","Two skiers involved, one fatality, survivor rode slab to runout, climbed backup and located companion with beacon - wrapped around tree.","[{'title': 'Relevant public avalanche bulletins', 'source': 'Banff-Yoho-Kootenay NP', 'url': '/public/legacy_doc/2cf02fd5-d755-4a6b-9c29-01cac09163b2/', 'date': ['1999-01-14']}, {'title': 'daily weather observations for Lake Louise', 'source': 'Environment Canada - Climate Data Online', 'url': '/public/legacy_doc/a91829fe-5927-4440-a988-23eec46e495b/', 'date': ['2009-08-26']}, {'title': 'Daily weather observations - Skoki Lodge', 'source': 'Environment Canada - Climate Data Online', 'url': '/public/legacy_doc/5deb09d9-8824-477c-802c-322ea9b23b3f/', 'date': ['2009-08-26']}, {'title': 'ACC Accident Write-up', 'source': 'Alpine Club of Canada Accident DB', 'url': '/public/legacy_doc/7b0828cd-b9a4-4908-a2c0-3a03376f3e62/AlpineClubOfCanadaWriteup.pdf'}, {'title': 'Skier killed in avalanche', 'source': 'CBC News', 'url': '/public/legacy_doc/acabf20a-f822-45e6-a91c-3cdbbce6c65b/990113_CBCNewsWeb.pdf', 'date': ['1999-01-13']}, {'title': 'Wall of snow buries skiers - Survivors bid to revi', 'source': 'Calgary Herald', 'url': '/public/legacy_doc/6754eaa2-f41b-4f7c-8223-a97a351aa495/', 'date': ['1999-01-14']}, {'title': 'Skier killed in avalanche', 'source': 'CBC News', 'url': '/public/legacy_doc/07f96ebe-21f8-406b-a8bd-ad7f2a0c10d8/990114_CBCNewsWeb.pdf', 'date': ['1999-01-14']}, {'title': 'Avalanche kills back-country skier', 'source': 'Vancouver Sun', 'url': '/public/legacy_doc/bb3cccef-c63b-4e98-9f97-bf4967cefa70/', 'date': ['1999-01-14']}]",Backcountry Skiing,e9bd7dbc-8692-4c02-8346-0b720c2968fb,Woverine Valley,"[562900.0, 5699700.0]",UTM 11U NAD83,near Lake Louise; Tylenol Chutes,,AB,1,0.0,1.0,1999-01-13,,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': '', 'wind_speed': '', 'wind_dir': '', 'sky': '', 'precip': ''}","[None, None]"
192,192,"[{'observation_date': '1999-01-07 14:00', 'size': '3.0', 'type': 'Slab', 'trigger': 'Sa', 'aspect': 'NE', 'elevation': 1250, 'slab_width': 65, 'slab_thickness': 75}]","Whole Avalanche Comment Section
***99-01-07 fatal avalanche, Snowbank Creek of Ningunsaw Pass, sz 3.0, crown was approx 60m wide on convex feature at 1280m elev, avg slope angle was 35 deg, with vertical drop of 640m. Crown fracture varied from 50-150cm. In thickest area of crown the fracture released in a 4cm thick layer of 1F mixed forms sz 2.0mm. This layer was sandwiched between two pencil layers near grd. In shallow areas of the crown the fracture released at grd in FC sz 3-5mm.


2 MoTh employees skied a slope after a day of bombing. The slope failed mid slope, where they were caught.","[{'title': 'Avalanche Kills Experts In B.C.', 'source': 'CBC News', 'url': '/public/legacy_doc/9a62c66d-5352-4fc6-8823-105a5035e566/990109_CBCArticle.pdf', 'date': ['1999-01-09']}, {'title': 'Avalanche Kills Experts In B.C.', 'source': 'CBC News', 'url': '/public/legacy_doc/42bc852e-c210-4873-9013-62728f0df5ce/990108_CBCArticle.pdf', 'date': ['1999-01-08']}]",Control Work,16b0c23e-fd92-4a52-ae21-37d2d2d3e82b,Snowbank Creek,"[441020.0, 6290862.0]",UTM 9V NAD83,"HWY 37N, West side, path 42.0 snowbank creek, near Ningunsaw Pass",,BC,2,0.0,2.0,1999-01-07,,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': '', 'wind_speed': '', 'wind_dir': '', 'sky': '', 'precip': ''}","[-129.914444, 56.74]"
193,193,"[{'observation_date': '1999-01-01 01:30', 'size': '3.0', 'type': 'Slab', 'trigger': 'Na', 'aspect': '', 'elevation': None, 'slab_width': 180, 'slab_thickness': None}]",School gymnasium buried by slide during New Years Eve party. About half the fatalities occurred outside the building (getting ready to leave) and half inside.,"[{'title': ""New Year's nightmare"", 'source': 'CBC Archives', 'url': '/public/legacy_doc/a511bc40-92e9-4972-b5d1-0458011ca222/', 'date': ['1999-01-08']}, {'title': 'Full Public Inquiry Into Quebec Avalanche', 'source': 'CBC News', 'url': '/public/legacy_doc/2ae473e2-69da-4580-9803-189eec7f82f3/990104_CBCArticle.pdf', 'date': ['1999-01-04']}, {'title': 'Further Delay For Avalanche Funeral', 'source': 'CBC News', 'url': '/public/legacy_doc/25ac7a5c-4bab-4dad-932f-5310a474044f/990106_CBCArticle.pdf', 'date': ['1999-01-06']}, {'title': 'Town grieves for ninr killed in avalanche', 'source': 'CBC News', 'url': '/public/legacy_doc/91182bad-ae97-4edd-ac95-6b842e26f394/990102_CBCWeb.pdf', 'date': ['1999-01-02']}, {'title': 'Inuit community in shock', 'source': 'CBC News', 'url': '/public/legacy_doc/59302ba8-630a-4419-9fde-848a7fa6845d/990102_CBCWeb-2.pdf', 'date': ['1999-01-01']}, {'title': 'Nine Killed in Kangiqsualujjag Avalanche', 'source': 'NUNAVIK.NET', 'url': '/public/legacy_doc/430443e0-7cd7-47bd-8ad9-a02beb9a29d1/990119_NunavikArtcl.pdf', 'date': ['1999-01-19']}, {'title': 'Nine killed in Quebec avalanche', 'source': 'CBC News', 'url': '/public/legacy_doc/df54c4fd-fc67-4195-b8d0-a509afc5b848/990101_CBCWeb.pdf', 'date': ['1999-01-01']}, {'title': 'Giref-stricken Village Buries Avalanche Victims', 'source': 'CBC News', 'url': '/public/legacy_doc/7a9d51b7-8497-4a8f-95a7-a991c5ea834f/990107_CBCArticle.pdf', 'date': ['1999-01-07']}, {'title': 'Bouchard Calls for inquiry into Avalanche Tragedy', 'source': 'CBC News', 'url': '/public/legacy_doc/f21c72c3-e11c-44ea-b51a-b1b7485a86b2/990105_CBCArticle.pdf', 'date': ['1999-01-05']}, {'title': 'Inuit Community Mourns Losses', 'source': 'CBC News', 'url': '/public/legacy_doc/f66883c9-adbb-470d-859c-d9edd43b7191/990103_CBCArticle.pdf', 'date': ['1999-01-03']}]",Inside Building,61134449-f3c1-40a7-83ea-ea7f23a180ab,Kangiqsualujjuaq ,"[328344.0, 6509694.0]",UTM 20V NAD83,"Ecole Satuumavik, Kangiqsualujjuaq, Ungava area - 1500km north of Montreal",,QC,9,25.0,,1999-01-01,,"{'hs': None, 'hn24': 0.0, 'hst': 0, 'hst_reset': ''}",Snow and blowing snow. Blizzard began at 9:32 am on day of accident.,"{'temp_present': -15, 'temp_max': 0, 'temp_min': 0, 'temp_trend': '', 'wind_speed': 'M', 'wind_dir': 'SW', 'sky': '', 'precip': ''}","[-65.95, 58.683333]"
194,194,"[{'observation_date': '1998-12-24 16:40', 'size': '1.0', 'type': '', 'trigger': 'Sa', 'aspect': '', 'elevation': None, 'slab_width': 25, 'slab_thickness': 25}]",,"[{'title': 'Dead snowboarder identified as instructor', 'source': 'CBC News', 'url': '/public/legacy_doc/65bd03fb-566a-4fc7-8be4-7f4d92a0c1c7/981227_CBCWebArt.pdf', 'date': ['1998-12-27']}, {'title': ""Avalanche kills B.C. 'boarder"", 'source': 'CBC News', 'url': '/public/legacy_doc/2039f206-163c-4172-b320-c5fbd8d95b01/981225_CBCWebArt.pdf', 'date': ['1998-12-25']}]",Lift Skiing Closed,382d3c3b-69ac-4a90-8b98-04e191e92e96,Cypress Bowl Ski Area,"[485600.0, 5472300.0]",UTM 10U NAD83,"Mount Strachan, Permanent closure west of run called Humpty Dumpty",,BC,1,0.0,1.0,1998-12-24,"soild mid-pack
1.5cm thick ice layer that developed during the rain event (Dec 16 & 17) and the subsequent outflow situation (Dec. 18 to 22)
SH up to 2cm developed on some aspects
35cm (general estimate) of new snow from Dec. 23 and 24.","{'hs': None, 'hn24': 35.0, 'hst': 35, 'hst_reset': '1998-12-22'}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': '', 'wind_speed': '', 'wind_dir': '', 'sky': '', 'precip': ''}","[None, None]"
195,195,"[{'observation_date': '1998-11-14 13:50', 'size': '2.0', 'type': 'Slab', 'trigger': 'Sa', 'aspect': 'SW', 'elevation': 2800, 'slab_width': 50, 'slab_thickness': None}]","Whole Avalanche Comment Section
***Incident at Yoho National Park near Golden, BC, on November 14, 1998. A group of six hikers were involved in an avalanche at approx. 14:00 hrs, while hiking towards Abbotts Pass. Wardens were notified by 16:10 that same day. Team and search dog immediately flew to the site and quickly located one person under the snow, who had not survived. The others were found and the injured evacuated by helicopter in failing light. A second flight was not possible, so the uninjured victims were ground evacuated by the remainder of the rescue team.","[{'title': 'Article about Susanna Donald', 'source': 'Vancouver Sun', 'url': '/public/legacy_doc/837ff960-4831-4ed8-9b96-04bc17e81732/981119_VancouverSun.pdf', 'date': ['1998-11-19']}, {'title': 'One dead, five injured in avalanche', 'source': 'Canada.com ', 'url': '/public/legacy_doc/ab20ea39-548c-46ff-8664-18d2cd33f54e/981116_Canada.ComWeb.pdf', 'date': ['1998-11-16']}, {'title': 'Avalanche related fatality Abbotts Pass Yoho National Park', 'source': 'Banff NP', 'url': '/public/legacy_doc/4d29198b-51e4-4e92-af71-1d1160869c3a/981114_BanffNP_PressReleaseDraft.pdf', 'date': ['1998-11-14']}, {'title': ""Two injured hikers airlifted to Banff; Risk of slide wasn't high, says Yoho safety warden"", 'source': 'Calgary Herald ', 'url': '/public/legacy_doc/57ef2f79-561f-4da3-b9dc-4952af7363aa/981116_CalHeraldNP.pdf', 'date': ['1998-11-16']}, {'title': 'Canadian Heritage Parks Canada - Information Bulletin', 'source': 'Supts Office LL/YNP/KNP', 'url': '/public/legacy_doc/d37ecfb7-3be5-4bf7-b3e9-6b6e4611c7d2/981115_ParksCaInfoBul.pdf', 'date': ['1998-11-15']}, {'title': 'Teen was buried by wall of snow', 'source': 'Calgary Herald ', 'url': '/public/legacy_doc/d5c4ba84-ab54-4c4f-b1dd-8fc4aa882476/981117_CalHeraldWebArt.pdf', 'date': ['1998-11-17']}, {'title': 'Killer avalanche', 'source': 'Calgary Sun', 'url': '/public/legacy_doc/f4c4ccab-36cd-47d6-a382-95a41394f856/981116_CalSunWeb.pdf', 'date': ['1998-11-16']}, {'title': 'Back-country hiking relatively safe, experts say', 'source': 'Red Deer Advocate', 'url': '/public/legacy_doc/a6a31b08-2b4f-4628-09bd-aaa27f56f11a/981120_RedDeerAdv_BCHikingRelativelySafe.pdf', 'date': ['1998-11-20']}, {'title': 'City student dies in Yoho avalanche', 'source': 'Calgary Herald ', 'url': '/public/legacy_doc/a3f212a1-5d7a-46ec-890c-b15b11c94c32/981116_CalHeralWeb.pdf', 'date': ['1998-11-16']}]",Snowshoeing & Hiking,6bf2865f-def4-4855-892f-14a5c6d64801,Abbot Pass,"[549300.0, 5690250.0]",UTM 11U NAD83,in gully between Lake Oesa and Abbot Pass,,BC,1,3.0,1.0,1998-11-14,early season snowpack; first significant storm of the season during the two days prior accident. HST in area approx. 30m. Most likely additional wind loading on accident slope.,"{'hs': None, 'hn24': 0.0, 'hst': 0, 'hst_reset': ''}","BCCS report: The weather conditions at the time of the accident were cloudy, -5 degrees and snowing","{'temp_present': -5, 'temp_max': None, 'temp_min': None, 'temp_trend': '', 'wind_speed': '', 'wind_dir': '', 'sky': 'OVC', 'precip': ''}","[-116.2872222, 51.3638889]"
196,196,"[{'observation_date': '1998-11-13 13:30', 'size': '2.0', 'type': 'Loose', 'trigger': 'Na', 'aspect': 'E', 'elevation': None, 'slab_width': 13, 'slab_thickness': 30}]"," Kokanee Glacier Provincial Park, November 13, 1998. Small (Est. Class 2) wet avalanche struck a group of skiers at edge of lake. 2 of them were pushed into  lake at the toe of the path. One was able to swim back to shore, the second was last seen by witnesses struggling in the water, and drowned. 2 of the party were caught but escaped the slide. (Note: that there was another group caught in a slide nearby but this report only deals with the fatality).","[{'title': 'Trudeau asks quiet service for his son', 'source': 'The Globe and Mail', 'url': '/public/legacy_doc/0449ed70-a010-4473-ab6a-0474921602ad/981120_GlobeMailWebArt.pdf', 'date': ['1998-11-20']}, {'title': 'Trudeau search off, likely until spring - Poor  weather, avalanche danger lead to decision', 'source': 'National Post', 'url': '/public/legacy_doc/6e45d18f-6d05-4bb2-b411-06bc11a8e9da/981119_NationalPostWebArt.pdf', 'date': ['1998-11-19']}, {'title': ""Trudeau had only 'started out'"", 'source': 'National Post', 'url': '/public/legacy_doc/1b4fb5cc-4685-43f1-82a1-075cf8684104/981116_NatPostNewsP-3.pdf', 'date': ['1998-11-16']}, {'title': 'Canadian Avalanche Association - Press Release - Kokanee Park', 'source': 'Canadian Avalanche Association', 'url': '/public/legacy_doc/76ddd46c-2bcd-4ff2-9a02-0ac3f76a7991/981114_CAAPressRelease.pdf', 'date': ['1998-11-14']}, {'title': 'RCMP News Release - Immediate', 'source': 'RCMP Nelson', 'url': '/public/legacy_doc/3221a97a-dae8-457d-b8c6-101ea7e86027/981113_RCMPNewsRelease.pdf', 'date': ['1998-11-13']}, {'title': 'Search for Trudeau Suspended', 'source': 'The Nelson Observer', 'url': '/public/legacy_doc/83fe1dd6-12a1-4bf0-8e36-11f3a05ae17f/981119_NelsonObserverArt.pdf', 'date': ['1998-11-19']}, {'title': 'A Trudeau tragedy', 'source': 'Macleans', 'url': '/public/legacy_doc/873a07e4-d53b-4094-9242-12138a4a1373/981123_Macleans_ATrudeauTradegy.pdf', 'date': ['1998-11-23']}, {'title': 'Silver Spray Cabin Closed', 'source': 'The Nelson Observer', 'url': '/public/legacy_doc/44229857-4ee9-40b2-b6a4-37873e9678e5/981119_NelsonObserverArt-1.pdf', 'date': ['1998-11-19']}, {'title': 'Hopes dashed - strong chance Michael Trudeaus body', 'source': 'Calgary Sun', 'url': '/public/legacy_doc/6e663585-9b3c-44cc-9b34-4242542d2e56/CalgarySun_HopesDashed.pdf'}, {'title': 'The Kokanee Glacier cabin', 'source': 'CBC Archives', 'url': '/public/legacy_doc/0ada9e88-ccf8-438b-94f3-569be7fe1d93/', 'date': ['2001-02-03']}, {'title': 'RCMP News Release - Search for Michel Treudeau delayed due to bad weather', 'source': 'RCMP Nelson', 'url': '/public/legacy_doc/13bfc7e2-0d90-41d2-a145-56f480a47ea6/981115_RCMPNewsRelease.pdf', 'date': ['1998-11-15']}, {'title': ""Weather stalls hunt for Trudeau's body"", 'source': 'The Vancouver Sun', 'url': '/public/legacy_doc/15973291-628e-4538-8f88-5a8e970a3378/981116_VanSunWebArt.pdf', 'date': ['1998-11-16']}, {'title': ""RCMP call off search for Trudeau's body"", 'source': 'Canada.com - Canadian Press', 'url': '/public/legacy_doc/d7dfa497-80b0-4d6a-bcdd-678541009092/981119_CndPressWebArt.pdf', 'date': ['1998-11-19']}, {'title': 'Michel Trudeau is lost', 'source': 'CBC Archives', 'url': '/public/legacy_doc/86798e13-850b-4c31-a0e8-747221aa518d/', 'date': ['1998-11-15']}, {'title': ""Three article, same page: He put 'a lot of sense' into Pierre, Passion for reason, A familiar son; a familiar fear"", 'source': 'National Post', 'url': '/public/legacy_doc/1f58b8e4-721d-4add-9887-7a314dde3425/981116_NatPostNewsP.pdf', 'date': ['1998-11-16']}, {'title': 'Ice closes grip in Trudeau search', 'source': 'Vancouver Sun', 'url': '/public/legacy_doc/80989c44-4074-4213-8fc9-877651b7ca35/981117_VanProvanceWebArt.pdf', 'date': ['1998-11-17']}, {'title': 'Trudeau son dies  in B.C. avalanche', 'source': 'The Province', 'url': '/public/legacy_doc/f37c0d36-7973-474f-b5fd-9a12d7095862/981115_TheProvanceNP.pdf', 'date': ['1998-11-15']}, {'title': 'Enter at your own risk', 'source': 'The Province', 'url': '/public/legacy_doc/0e2e5e29-a54b-4b46-b7bb-b07c98f9cad7/981122_TheProvince_EnterAtOwnRisk.pdf', 'date': ['1998-11-22']}, {'title': '""I\'m just a heartbroken brother"" - Sacha Trudeau in BC to bring back Michel\'s body', 'source': 'National Post', 'url': '/public/legacy_doc/bbedb678-a1e3-44dc-a969-b38cf80778b0/981118_NationalPostArt.pdf', 'date': ['1998-11-18']}, {'title': 'Search on for one person still missing in avalanche', 'source': 'Canada.com - Canadian Press', 'url': '/public/legacy_doc/ddc6e66f-a5ce-494f-80e2-bd302b8df152/981114_Canada.ComArt.pdf', 'date': ['1998-11-14']}, {'title': 'One dead, five injured in avalanche', 'source': 'Canada.com - Calgary Herald', 'url': '/public/legacy_doc/b9dee7ae-e65a-4e5f-b680-be734530d19f/981116_CalgaryHeraldNP.pdf', 'date': ['1998-11-16']}, {'title': 'RCMP News Release - Re: Search and Rescue Kokanee Glacier Provincial Park', 'source': 'RCMP Nelson', 'url': '/public/legacy_doc/be556613-e81c-4e96-bd1b-bee6f4f1b476/981114_RCMPNewsRelease.pdf', 'date': ['1998-11-14']}, {'title': 'RCMP News Release - Re: Search and Rescue Operation Kokanee Glacier Provincial Park, Nelson, BC', 'source': 'RCMP Nelson', 'url': '/public/legacy_doc/6a683c64-66fc-4be8-bf0f-c39e0e2b42fb/981114_RCMPNewsRelease-2.pdf', 'date': ['1998-11-14']}, {'title': 'RCMP News Release - Re: Search and Rescue Kokanee Glacier Provincial Park', 'source': 'RCMP Nelson', 'url': '/public/legacy_doc/455ffa81-b370-4438-88ec-c69575d48207/981114_RCMPNewsRelease-3.pdf', 'date': ['1998-11-14']}, {'title': 'Four articles: Avalanche struck with any warning; A \'down to earth son\'; I\'ve never seen on like it, BC avalanche expert says; Trudeau ""deeply shaken by this\'', 'source': 'National Post', 'url': '/public/legacy_doc/f406cec2-e042-4c45-87bd-d322e8c92a1a/981116_NatPostNewsP-2.pdf', 'date': ['1998-11-16']}, {'title': 'RCMP News Release - Update Michel Treudeau investigation', 'source': 'RCMP Nelson', 'url': '/public/legacy_doc/155a4320-8d8a-4406-80e0-d5fc9d53e748/981117_RCMPNewsRelease.pdf', 'date': ['1998-11-16']}, {'title': 'Two articles; Trudeau was training to be a rescue worker; Like his father he tested his country', 'source': 'National Post', 'url': '/public/legacy_doc/9ddf00f2-a7af-4135-9628-e0db84cb887e/981120_GlobeMailWebArt.pdf', 'date': ['1998-11-16']}, {'title': ""Four articles; Poor conditions prevent search for Trudeau, Skiers not deterred by accidents; experts; Search: Friends 'quite shaken'; Deadly avalanches in Western Canada"", 'source': 'Calgary Herald ', 'url': '/public/legacy_doc/075cc67e-4ce3-4acc-a341-ea87387ae5ab/981116_CalgaryHeraldNP.pdf', 'date': ['1998-11-16']}, {'title': 'Avalanche Kills Son of Former Canada PM Trudeau', 'source': 'Infoseek', 'url': '/public/legacy_doc/fedbbb9f-58b9-4be7-b945-ec11807dcd89/981115_InfoseekWebArt.pdf', 'date': ['1998-11-15']}, {'title': ""Weather blocks efforts to find body of Trudeau's son"", 'source': 'The Globe and Mail', 'url': '/public/legacy_doc/089b2c5e-84cd-4c69-a998-fd2097a7beaa/981116_GlobeMailWebArt.pdf', 'date': ['1998-11-16']}]",Backcountry Skiing,7d8a4512-723d-4c28-8386-8e0649842cab,Kokanee Glacier Park,"[-117.176696777344, 49.7482986450195]",LatLon,Kokanee Lake-Trail from Gibsons Lake to Slocan Chief cabin,2000.0,BC,1,0.0,0.0,1998-11-13,Heavy snowfall in area prior to slide. Snow in upper elevations but rain at lake level.,"{'hs': None, 'hn24': 0.0, 'hst': 0, 'hst_reset': ''}",,"{'temp_present': 0, 'temp_max': 0, 'temp_min': 0, 'temp_trend': '', 'wind_speed': '', 'wind_dir': '', 'sky': '', 'precip': ''}","[-117.133333, 49.783333]"
197,197,"[{'observation_date': '1998-06-28 15:10', 'size': '1.5', 'type': 'Loose', 'trigger': 'Sa', 'aspect': 'E', 'elevation': 2500, 'slab_width': None, 'slab_thickness': None}]","summited 13:00hrs, on descent of East Ridge glissaded gully. Triggered recent HST (est sz 1.5) isothermal, 1 carried approx 300m, on surface but fatal trauma injuries. Time 15:10 hrs.","[{'title': 'ACC Accident Write-up', 'source': 'Alpine Club of Canada Accident DB', 'url': '/public/legacy_doc/13541442-0ecf-4215-8dea-e94e68a25779/AlpineClubOfCanadaWriteup.pdf'}]",Mountaineering,5f1d0113-1e64-4a52-a1bd-0bc6633df569,Mount Edith Cavell,"[430410.0, 5835709.0]",UTM 11 NAD83,"Mt Edith Cavell, 10 km S of Jasper, east ridge",,AB,1,,,1998-06-28,,"{'hs': None, 'hn24': 10.0, 'hst': 0, 'hst_reset': ''}",+15 C in Jasper Town at 15:00,"{'temp_present': 0, 'temp_max': 0, 'temp_min': 0, 'temp_trend': '', 'wind_speed': '', 'wind_dir': '', 'sky': '', 'precip': ''}","[-118.0566667, 52.6672223]"
198,198,"[{'observation_date': '1998-05-19 18:30', 'size': '2.0', 'type': 'Loose', 'trigger': 'Sa', 'aspect': 'NE', 'elevation': None, 'slab_width': None, 'slab_thickness': None}]",Two (intoxicated) people were crazy carpet riding near the top of the Jasper skytram.,"[{'title': 'RCMP News Release of Avalanche Fatality in Jasper N.P.', 'source': 'RCMP Jasper', 'url': '/public/legacy_doc/4d46aea0-a34c-43a2-a09a-c5d3f8772813/980517_RCMPPressRelease.pdf', 'date': ['1998-05-18']}]",Other Recreational,3688a536-8b8f-4630-aaed-985478ef7724,Whistler Mountain - Jasper Tram,"[423578.0, 5853813.0]",UTM 11 NAD83,"top of Jasper tram, near Marmot Basin Ski Area",,AB,1,,,1998-05-17,recent accumulations up to 40cm combined with rain and warm temps resultated in an unstable isothermal snowpack,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': '', 'wind_speed': '', 'wind_dir': '', 'sky': '', 'precip': ''}","[None, None]"
199,199,"[{'observation_date': '1998-04-16 14:00', 'size': '2.5', 'type': 'Slab', 'trigger': 'Sa', 'aspect': 'NE', 'elevation': 1525, 'slab_width': 110, 'slab_thickness': 75}]","Geography student doing research
***Avalanche fatality: 85km from Watson Lake, Yukon Ter in the Logan Mtns. Group of three students with one professor were doing tree core sampling. One student killed by an avalanche.","[{'title': 'Globe and Mail Press Clip (2 of 2)', 'source': 'The Globe and Mail', 'url': '/public/legacy_doc/d4e440bd-3f56-4b53-913c-175956213ea4/980416_GlobeMailClip2.pdf', 'date': ['1998-04-22']}, {'title': 'Globe and Mail Press Clip (1 of 2)', 'source': 'The Globe and Mail', 'url': '/public/legacy_doc/afe85a4c-4dbd-4ca4-ae9f-ba4ae0ada0c4/980416_GlobeMailClip.pdf', 'date': ['1998-04-18']}]",At Outdoor Worksite,09931a1f-4647-43a7-bf10-7a6e8194d611,SA DENA HES Mine,"[506685.0, 6709209.0]",UTM 9V NAD83,"80km north of Watson Lake, in the Yukon",,YT,1,,,1998-04-16,SH to early season SH to near Surface FC to depth hoar at ground.,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': '', 'wind_speed': '', 'wind_dir': '', 'sky': '', 'precip': ''}","[None, None]"
200,200,"[{'observation_date': '1998-03-28 15:30', 'size': '3.0', 'type': 'Slab', 'trigger': 'Ma', 'aspect': 'NE', 'elevation': 2400, 'slab_width': 250, 'slab_thickness': 150}]",Highmarking. Slide overtook sledder who was descending path when buried.,[],Snowmobiling,e809aee2-9bec-4127-a0dc-d143bbff674f,Onion Lake,"[551521.0, 5770390.0]",UTM 11 NAD83,"2.5km SW of Onion Lake, Rocky Mountain House Area",,AB,1,,1.0,1998-03-28,New snow found 1 1/2 weeks before.,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': '', 'wind_speed': '', 'wind_dir': '', 'sky': '', 'precip': ''}","[-116.1911111, 52.1177778]"
201,201,"[{'observation_date': '1998-03-07 11:00', 'size': '2.5', 'type': 'Slab', 'trigger': 'U', 'aspect': 'NE', 'elevation': 100, 'slab_width': 150, 'slab_thickness': 70}]",2 people travelling by snowmobile seperated. Person who continued on foot triggered slide.,"[{'title': 'Globe and Mail Press Clip', 'source': 'The Globe and Mail', 'url': '/public/legacy_doc/fe91c6b9-3447-4cd4-a57e-dc6f2fed7edb/980307_GlobeMailPrssClip.pdf', 'date': ['1998-03-10']}]",Hunting/Fishing,72eb1458-fd0f-4dd2-81ca-4664c315ae82,Arctic Bay,"[560157.0, 8105467.0]",UTM 16X NAD83,10km from Arctic Bay,,NU,1,0.0,1.0,1998-03-07,,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}",,"{'temp_present': None, 'temp_max': None, 'temp_min': None, 'temp_trend': '', 'wind_speed': '', 'wind_dir': '', 'sky': '', 'precip': ''}","[-85.166667, 73.033333]"
202,202,"[{'observation_date': '1998-01-31 12:30', 'size': '3.0', 'type': 'Slab', 'trigger': 'Ma', 'aspect': 'N', 'elevation': 1990, 'slab_width': 245, 'slab_thickness': 100}]",,"[{'title': 'RCMP News Release', 'source': 'RCMP Prince George', 'url': '/public/legacy_doc/de8ed1e3-fa31-477b-8940-ec4e18edda2a/980131_RCMPCoverPressRelease.pdf', 'date': ['1998-02-01']}]",Snowmobiling,040b1bb5-79bc-4a85-8f36-97b0acae0194,Round Top Mountain,"[613041.0, 5865113.0]",UTM 10 NAD83,"20km SE of Barkerville, BC near Roundtop Mountain",,BC,1,,1.0,1998-01-31,35cm down on SH layer and then stepped to Nov. /97 FC layer.,"{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}",,"{'temp_present': -1, 'temp_max': 0, 'temp_min': -4, 'temp_trend': '', 'wind_speed': 'C', 'wind_dir': '', 'sky': 'CLR', 'precip': 'Nil'}","[None, None]"
203,203,"[{'observation_date': '1998-01-25 13:00', 'size': '2.0', 'type': 'Slab', 'trigger': 'Ma', 'aspect': 'SE', 'elevation': 2080, 'slab_width': 30, 'slab_thickness': 70}]","Whole Avalanche Comment Section
***Snowmobile fatal, Merritt, BC 98-01-25, size 2.0 HSL, SE asp, 35 deg, 2080m, 30m wide, 50-80cm deep. Feature cross loaded by strong winds. Slab was pencil over 4F, interface stellars 3-4mm, CTM. Snowmobiler parked at the base of the slope; avalanche was triggered from above by other snowmobilers, no rescue beacon, burial time 3 hours.",[],Snowmobiling,43dd5388-d95e-484c-be7a-566b865a9fe0,Stoyoma Mtn,"[628262.0, 5539269.0]",UTM 10 NAD83,"Near Mt Stoyoma, 35km SW of Merritt, BC",,BC,1,0.0,1.0,1998-01-25,"windslab over 4Fstellars 3-4 mm, CTM","{'hs': None, 'hn24': None, 'hst': None, 'hst_reset': ''}",,"{'temp_present': 0, 'temp_max': None, 'temp_min': None, 'temp_trend': '', 'wind_speed': 'L', 'wind_dir': 'SW', 'sky': 'OVC', 'precip': 'S-1'}","[-121.210278, 49.991944]"
